"initT",1539785437.8639026
"tcpL",1.2378709316253662,"udpL+tcpL",3.0838677883148193
"tcpL",1.2395029067993164,"udpL+tcpL",2.5918471813201904
"tcpL",1.2221956253051758,"udpL+tcpL",2.5683772563934326
"tcpL",1.2125349044799805,"udpL+tcpL",2.5335474014282227
"tcpL",1.2360830307006836,"udpL+tcpL",2.5666000843048096
"tcpL",1.215857982635498,"udpL+tcpL",2.534550666809082
"tcpL",1.2610230445861816,"udpL+tcpL",2.6257457733154297
"tcpL",1.260603904724121,"udpL+tcpL",2.6099483966827393
"tcpL",1.261221170425415,"udpL+tcpL",2.6106374263763428
"tcpL",1.2597062587738037,"udpL+tcpL",2.617159366607666
"tcpL",1.2746555805206299,"udpL+tcpL",2.609849214553833
"tcpL",1.242983102798462,"udpL+tcpL",2.581749677658081
"tcpL",1.2845959663391113,"udpL+tcpL",2.6316051483154297
"tcpL",1.214775562286377,"udpL+tcpL",2.5489375591278076
"tcpL",1.2875161170959473,"udpL+tcpL",2.6218440532684326
"tcpL",1.2990727424621582,"udpL+tcpL",2.637418508529663
"tcpL",1.2268662452697754,"udpL+tcpL",2.5687649250030518
"tcpL",1.4794423580169678,"udpL+tcpL",2.8482906818389893
"tcpL",1.2091660499572754,"udpL+tcpL",2.6105692386627197
"tcpL",1.2541148662567139,"udpL+tcpL",2.603736639022827
"tcpL",1.2349190711975098,"udpL+tcpL",2.6129941940307617
"tcpL",1.2843306064605713,"udpL+tcpL",2.612048387527466
"tcpL",1.1988608837127686,"udpL+tcpL",2.49874210357666
"tcpL",1.2698166370391846,"udpL+tcpL",2.6264901161193848
"tcpL",1.1746971607208252,"udpL+tcpL",2.5293197631835938
"tcpL",1.2145802974700928,"udpL+tcpL",2.598407506942749
"tcpL",1.2411441802978516,"udpL+tcpL",2.593100070953369
"tcpL",1.2088546752929688,"udpL+tcpL",2.573340892791748
"tcpL",1.2435221672058105,"udpL+tcpL",2.5896923542022705
"tcpL",1.2647039890289307,"udpL+tcpL",2.6474597454071045
"tcpL",1.274214744567871,"udpL+tcpL",2.5750174522399902
"tcpL",1.291482925415039,"udpL+tcpL",2.660935401916504
"tcpL",1.17042875289917,"udpL+tcpL",2.52825665473938
"tcpL",1.1581382751464844,"udpL+tcpL",2.508767604827881
"tcpL",1.2744369506835938,"udpL+tcpL",2.609387159347534
"tcpL",1.1689119338989258,"udpL+tcpL",2.519697427749634
"tcpL",1.1895339488983154,"udpL+tcpL",2.511260747909546
"tcpL",1.1795885562896729,"udpL+tcpL",2.5320839881896973
"tcpL",1.2717673778533936,"udpL+tcpL",2.619798183441162
"tcpL",1.2237966060638428,"udpL+tcpL",2.556565284729004
"tcpL",1.2514843940734863,"udpL+tcpL",2.568809747695923
"tcpL",1.248889446258545,"udpL+tcpL",2.5878379344940186
"tcpL",1.2052617073059082,"udpL+tcpL",2.568058967590332
"tcpL",1.202258825302124,"udpL+tcpL",2.5181784629821777
"tcpL",1.280818223953247,"udpL+tcpL",2.638084888458252
"tcpL",1.2143583297729492,"udpL+tcpL",2.565826416015625
"tcpL",1.2624421119689941,"udpL+tcpL",2.61102032661438
"tcpL",1.2839422225952148,"udpL+tcpL",2.617725133895874
"tcpL",1.2446651458740234,"udpL+tcpL",2.587392807006836
"tcpL",1.2853353023529053,"udpL+tcpL",2.6409502029418945
